玄关柜选购、保养与常见问题 FAQ

## 选购
1. 玄关柜和鞋柜有什么区别？答：玄关柜更强调入户收纳和空间过渡，鞋柜更强调鞋类收纳。玄关柜常会兼顾装饰台面、挂钩和钥匙收纳。
2. 玄关柜要不要做通顶？答：通顶更能提高收纳，但会压缩空间感。小户型要先看层高和入户通道宽度。
3. 玄关柜适合做开放格吗？答：适合做一部分开放格，方便放钥匙、包和临时物品。全开放容易显乱，也更容易落灰。

## 使用与保养
4. 玄关柜怎么防潮？答：入户区域容易带回雨水和湿气，柜底最好不要长期接触潮湿地面。潮湿季节可以适当通风。
5. 玄关柜怎么清洁鞋印和灰尘？答：日常用干布或微湿布擦拭即可，地面和柜脚附近要经常清理。若是哑光面板，别用过强去污剂。

## 常见问题
6. 玄关柜门下垂怎么办？答：先检查铰链和螺丝，再调整门缝。若频繁下垂，说明门板重量和五金承载可能不匹配。
7. 玄关柜发霉怎么办？答：先判断是表面霉点还是内部受潮。轻微情况可通风和清洁，严重情况要先控制湿源。

## 场景适配
8. 玄关柜适合与扫地机器人共存吗？答：可以，但要注意底部高度和柜脚形式。留出足够净空更方便清扫。
9. 玄关柜适合小户型吗？答：适合，但更建议选择薄款、窄款或组合式设计，避免入户一进门就压迫。
